product_title,type,series,artwork_url,creation_method,template_or_productuid,expected_variants,variant_note,status,url_check
Neko Paw — Yellow,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Paw — Yellow Neon,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20Neon.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Paw — Yellow & Blue,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20%26%20Blue.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Paw — Pink,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Pink.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Paw — Lilac,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Lilac.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Paw — Yellow II,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Paw%20%E2%80%94%20Yellow%20II.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Paw — Red,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_paw_red.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko — Pink,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/neko_pink.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Human I,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Human%20I.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Neko Human II,Art Print — Vertical,NEKO,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/neko/Neko%20Human%20II.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Mask — I,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20%E2%80%94%20I%20cropped.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Mask — II,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20%E2%80%94%20II.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Mask — III,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20%E2%80%94%20III.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Mask — Blasé,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20%E2%80%94%20Blas%C3%A9.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Mask — Calling,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20%E2%80%94%20Calling.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Mask — Dream,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Mask%20%E2%80%94%20Dream.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Moon Face,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Moon%20Face.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Solar Face,Art Print — Vertical,Masks,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/masks/Solar%20Face.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Sea Monsters — Steel,Art Print — Vertical,Sea Monsters,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/patterns/Sea%20Monsters%20%E2%80%94%20Steel.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Botanical — Noir,Art Print — Vertical,Botanical,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Botanical%20%E2%80%94%20Noir.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Botanical — Blanc,Art Print — Vertical,Botanical,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Botanical%20%E2%80%94%20Blanc.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Garden — Cream,Art Print — Vertical,Botanical,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Garden%20%E2%80%94%20Cream.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Garden — Sky,Art Print — Vertical,Botanical,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Garden%20%E2%80%94%20Sky.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Garden — Lavender,Art Print — Vertical,Botanical,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Garden%20%E2%80%94%20Lavender.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Garden — Sage,Art Print — Vertical,Botanical,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/botanical/Garden%20%E2%80%94%20Sage.png,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Zebra,Art Print — Vertical,Animals,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/animals/Zebra.jpg,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
Tourism — II,Art Print — Vertical,Tourism,https://raw.githubusercontent.com/flamant-studio/dayindayin/main/DayInDayIn%20Images/tourism/Tourism%20%E2%80%94%20II.jpg,template,6005fae3-64a6-4f62-8328-93d2ce6bae58,3,A4 / A3 / A2,EXISTING,200
